enemy,run,time
1,0,4264695726541
1,1,810396238625
1,2,213333146541
1,3,216190442333
1,4,216169956000
1,5,211270824708
1,6,214454387291
1,7,215796758458
1,8,222048711667
1,9,214768356375
4,0,440741716833
4,1,437241748334
4,2,463972913417
4,3,489221686875
4,4,449173475333
4,5,464002673958
4,6,458072815375
4,7,481295217959
4,8,446457757959
4,9,445206148208
6,0,280819393875
6,1,407688204417
6,2,278674864334
6,3,341848778666
6,4,311390833208
6,5,348064632541
6,6,274281919375
6,7,334190920916
6,8,424848056834
6,9,285321616750
